state,level_1,level_1_kind,level_1_include_in_name,level_2,level_2_kind,level_2_include_in_name,level_3,level_3_kind,level_3_include_in_name,level_4,level_4_kind,level_4_include_in_name,level_5,level_5_kind,level_5_include_in_name
AR,Ozark Mountain,AVA,yes,Arkansas Mountain,AVA,no,Altus,AVA,no,,,,,,
AZ,Sonoita,AVA,yes,,,,,,,,,,,,
AZ,Wilcox,AVA,yes,,,,,,,,,,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Coombsville,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Mt. Veeder,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Oakville,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Spring Mountain District,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Wild Horse Valley,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Yountville,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Stags Leap District,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Rutherford,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Atlas Peak,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,St. Helena,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Howell Mountain,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Napa Valley,AVA,yes,Los Carneros,AVA,yes,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Oak Knoll District of Napa Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Chiles Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Diamond Mountain District,AVA,yes,,,,,,
CA,North Coast,AVA,no,Napa,County,only-if-closest,Calistoga,AVA,yes,,,,,,
CA,North Coast,AVA,no,Solano,County,yes,Wild Horse Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Solano,County,yes,Suisun Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Solano,County,yes,Solano County Green Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Solano,County,yes,San Francisco Bay,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Eagle Peak Mendocino County,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Cole Ranch,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,McDowell Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Covelo,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Yorkville Highlands,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Dos Rios,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Potter Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Anderson Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Mendocino Ridge,AVA,yes,,,,,,
CA,North Coast,AVA,no,Mendocino,County,yes,Redwood Valley,AVA,yes,,,,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Northern Sonoma,AVA,yes,Pine Mountain-Cloverdale Peak,AVA,yes,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Sonoma Valley,AVA,yes,Bennett Valley,AVA,yes,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Fountaingrove District,AVA,yes,,,,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Northern Sonoma,AVA,yes,Dry Creek Valley,AVA,yes,Rockpile,AVA,yes
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Sonoma Coast,AVA,yes,Russian River Valley,AVA,yes,Green Valley of Russian River,AVA,yes
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Sonoma Coast,AVA,yes,Petaluma Gap,AVA,yes,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Sonoma Valley,AVA,AVA,Sonoma Mountain,AVA,yes,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Northern Sonoma,AVA,yes,Knights Valley,AVA,yes,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Northern Sonoma,AVA,yes,Alexander Valley,AVA,yes,,,
CA,North Coast,AVA,no,Sonoma,County,only-if-closest,Sonoma Valley,AVA,yes,Moon Mountain District Sonoma County,AVA,yes,,,
