Level_1,Level_2,Level_3
Brettanomyces,Animal,Feral
Brettanomyces,Animal,Foxy
Brettanomyces,Animal,Musky
Brettanomyces,Animal,Sweat
Brettanomyces,Bacon,Bacon
Brettanomyces,Bacon,Smoked Bacon
Brettanomyces,Barnyard,Barnyard
Brettanomyces,Barnyard,Funky
Brettanomyces,Barnyard,Horsey
Brettanomyces,Barnyard,Saddle Leather
Brettanomyces,Medicinal,Band-Aid
Brettanomyces,Medicinal,Medicinal
Caramel,Biscuit,Apple Pie
Caramel,Biscuit,Blueberry Pie
Caramel,Biscuit,Cake
Caramel,Biscuit,Cherry Pie
Caramel,Biscuit,Cookie
Caramel,Biscuit,Cracker
Caramel,Biscuit,Graham Cracker
Caramel,Biscuit,Pastry
Caramel,Biscuit,Pie
Caramel,Caramel,Brown Butter
Caramel,Caramel,Brown Sugar
Caramel,Caramel,Butter Popcorn
Caramel,Caramel,Buttercream
Caramel,Caramel,Butterscotch
Caramel,Caramel,Caramel
Caramel,Caramel,Crème Brulee
Caramel,Caramel,Custard
Caramel,Caramel,Fudge
Caramel,Caramel,Lemon Custard
Caramel,Caramel,Lemon Meringue
Caramel,Caramel,Maple Syrup
Caramel,Caramel,Marshmallow
Caramel,Caramel,Molasses
Caramel,Caramel,Popcorn
Caramel,Caramel,Soy
Caramel,Caramel,Soy Sauce
Caramel,Caramel,Toffee
Caramel,Chocolate,Carob
Caramel,Chocolate,Chocolate
Caramel,Chocolate,Cocoa
Caramel,Chocolate,Coco Nib
Caramel,Chocolate,Dark Chocolate
Caramel,Chocolate,Milk Chocolate
Caramel,Honey,Beeswax
Caramel,Honey,Botrytis
Caramel,Honey,Honey
Caramel,Honey,Clover Honey
Caramel,Honey,Honeycomb
Caramel,Honey,Honeysuckle
Earth Inorganic,Graphite,Charcoal
Earth Inorganic,Graphite,Graphite
Earth Inorganic,Graphite,Pencil Lead
Earth Inorganic,Graphite,Pencil Shaving
Earth Inorganic,Metal,Iron
Earth Inorganic,Metal,Metal
Earth Inorganic,Metal,Steel
Earth Inorganic,Oil,Camphor
Earth Inorganic,Oil,Candle Wax
Earth Inorganic,Oil,Lanolin
Earth Inorganic,Oil,Oil
Earth Inorganic,Oil,Oily
Earth Inorganic,Oil,Slick
Earth Inorganic,Oil,Soapy
Earth Inorganic,Oil,Wax
Earth Inorganic,Petroleum,Asphalt
Earth Inorganic,Petroleum,Chemical
Earth Inorganic,Petroleum,Diesel
Earth Inorganic,Petroleum,Petrol
Earth Inorganic,Petroleum,Plastic
Earth Inorganic,Petroleum,Tar
Earth Inorganic,Rocks,Cement
Earth Inorganic,Rocks,Chalk
Earth Inorganic,Rocks,Clay
Earth Inorganic,Rocks,Concrete
Earth Inorganic,Rocks,Flint
Earth Inorganic,Rocks,Granite
Earth Inorganic,Rocks,Gravel
Earth Inorganic,Rocks,Limestone
Earth Inorganic,Rocks,Minerality
Earth Inorganic,Rocks,Rocks
Earth Inorganic,Rocks,Slate
Earth Inorganic,Rocks,Stone
Earth Inorganic,Rocks,Struck Flint
Earth Inorganic,Rocks,Wet Clay
Earth Inorganic,Rocks,Wet Stone
Earth Inorganic,Rocks,Wet Rocks
Earth Inorganic,Rubber,Latex
Earth Inorganic,Rubber,Rubber
Earth Inorganic,Rubber,Tire Rubber
Earth Organic,Mushroom,Mushroom
Earth Organic,Mushroom,Truffle
Earth Organic,Soil,Compost
Earth Organic,Soil,Dust
Earth Organic,Soil,Earth
Earth Organic,Soil,Earthy
Earth Organic,Soil,Loamy
Earth Organic,Soil,Moist Earth
Earth Organic,Soil,Mulch
Earth Organic,Soil,Scorched Earth
Earth Organic,Soil,Soil
Earth Organic,Soil,Wet Earth
Earth Organic,Undergrowth,Forest Floor
Earth Organic,Undergrowth,Moss
Earth Organic,Undergrowth,Root
Earth Organic,Undergrowth,Undergrowth
Flower,Flowery,Acacia
Flower,Flowery,Apple Blossom
Flower,Flowery,Blossom
Flower,Flowery,Blue Flower
Flower,Flowery,Chamomile
Flower,Flowery,Elderflower
Flower,Flowery,Dandelion
Flower,Flowery,Flower
Flower,Flowery,Hibiscus
Flower,Flowery,Jasmine
Flower,Flowery,Lavender
Flower,Flowery,Lilac
Flower,Flowery,Orange Blossom
Flower,Flowery,Perfumed
Flower,Flowery,Petal
Flower,Flowery,Pollen
Flower,Flowery,Potpourri
Flower,Flowery,Purple Flower
Flower,Flowery,Rose Petal
Flower,Flowery,Rosewater
Flower,Flowery,Spring Flowers
Flower,Flowery,Violet
Flower,Flowery,Violet Rose
Flower,Flowery,White Blossom
Flower,Flowery,White Flower
Flower,Flowery,Wild Flower
Flower,Flowery,Wildflower
Flower,Flowery,Yellow Flower
Fruit,Citrus Fruit,Bergamot
Fruit,Citrus Fruit,Blood Orange
Fruit,Citrus Fruit,Citrus
Fruit,Citrus Fruit,Citrus Peel
Fruit,Citrus Fruit,Citrus Pith
Fruit,Citrus Fruit,Grapefruit
Fruit,Citrus Fruit,Grapefruit Peel
Fruit,Citrus Fruit,Grapefruit Pith
Fruit,Citrus Fruit,Kumquat
Fruit,Citrus Fruit,Lemon
Fruit,Citrus Fruit,Lemon Blossom
Fruit,Citrus Fruit,Lemon Curd
Fruit,Citrus Fruit,Lemon Drop
Fruit,Citrus Fruit,Lemon Peel
Fruit,Citrus Fruit,Lemon Pith
Fruit,Citrus Fruit,Lemon Verbena
Fruit,Citrus Fruit,Lime
Fruit,Citrus Fruit,Persian Lime
Fruit,Citrus Fruit,Lime Peel
Fruit,Citrus Fruit,Lime Pith
Fruit,Citrus Fruit,Mandarin
Fruit,Citrus Fruit,Marmalade
Fruit,Stone Fruit,Nectarine
Fruit,Stone Fruit,White Nectarine
Fruit,Citrus Fruit,Orange
Fruit,Citrus Fruit,Orange Marmalade
Fruit,Citrus Fruit,Orange Peel
Fruit,Citrus Fruit,Pith
Fruit,Citrus Fruit,Preserved Lemon
Fruit,Citrus Fruit,Rind
Fruit,Citrus Fruit,Tangerine
Fruit,Citrus Fruit,Tangerine Peel
Fruit,Citrus Fruit,Zest
Fruit,Dark Fruit,Black Currant
Fruit,Dark Fruit,Black Fruit
Fruit,Dark Fruit,Blackberry
Fruit,Dark Fruit,Briary Blackberry
Fruit,Dark Fruit,Blackberry Jam
Fruit,Dark Fruit,Blackberry Compote
Fruit,Dark Fruit,Blackcurrant
Fruit,Dark Fruit,Blue Fruit
Fruit,Dark Fruit,Blueberry
Fruit,Dark Fruit,Bramble
Fruit,Dark Fruit,Brambleberry
Fruit,Dark Fruit,Cassis
Fruit,Dark Fruit,Currant
Fruit,Dark Fruit,Dark Berry
Fruit,Dark Fruit,Dark Fruit
Fruit,Dark Fruit,Elderberry
Fruit,Dark Fruit,Huckleberry
Fruit,Dark Fruit,Mulberry
Fruit,Dark Fruit,Olallieberry
Fruit,Dark Fruit,Plum
Fruit,Dark Fruit,Red Plum
Fruit,Dark Fruit,Stewed Plum
Fruit,Dried Fruit,Cooked
Fruit,Dried Fruit,Fig
Fruit,Dried Fruit,Prune
Fruit,Dried Fruit,Dried Apricot
Fruit,Dried Fruit,Raisin
Fruit,Fruity,Fruit
Fruit,Fruity,Fruit-Forward
Fruit,Fruity,Fruity
Fruit,Fruity,Inky
Fruit,Fruity,Juicy
Fruit,Fruity,Overripe
Fruit,Fruity,Pulpy
Fruit,Fruity,Reductive
Fruit,Fruity,Ripe
Fruit,Fruity,Sorbet
Fruit,Fruity,Super Ripe
Fruit,Fruity,Underripe
Fruit,Fruity,Unripe
Fruit,Melon,Cantaloupe
Fruit,Melon,Honeydew
Fruit,Melon,Melon
Fruit,Melon,Melon Rind
Fruit,Melon,Watermelon
Fruit,Melon,Watermelon Rind
Fruit,Red Fruit,Berry
Fruit,Red Fruit,Black Cherry
Fruit,Red Fruit,Boysenberry
Fruit,Red Fruit,Cherry
Fruit,Red Fruit,Sour Cherry
Fruit,Red Fruit,Cherry Liqueur
Fruit,Red Fruit,Maraschino Cherry
Fruit,Red Fruit,Compote
Fruit,Red Fruit,Cotton Candy
Fruit,Red Fruit,Cranberry
Fruit,Red Fruit,Gooseberry
Fruit,Red Fruit,Grapey
Fruit,Red Fruit,Gummy
Fruit,Red Fruit,Jam
Fruit,Red Fruit,Jelly
Fruit,Red Fruit,Kirsch
Fruit,Red Fruit,Pomegranate
Fruit,Red Fruit,Raspberry
Fruit,Red Fruit,Red Berry
Fruit,Red Fruit,Red Currant
Fruit,Red Fruit,Red Fruit
Fruit,Red Fruit,Strawberry
Fruit,Red Fruit,White Currant
