variety,FPS clone number
Abouriou,
Agiorgitiko,
Aglianico,03
Aglianico,02.1
Aglianico,03.1
Aidani,
Airen,
Albana,01
Albanello,
Albariño,03.1
Aleatico,
Alfrocheiro,
Alicante,
Alicante Bouschet,
Aligoté,651
Altesse,
Alvarelhão,
Alvarinho,639
Alvarinho,03
Alvarinho,03.1
Antão Vaz,
Aragonês,
Aragonez,
Argaman,
Arinto,635
Arinto,962
Arinto,01.1
Arinto,02.1
Arinto,01
Arinto,02
Arinto,635.1
Arneis,01
Asprinio,
Assyrtico,
Assyrtiko,
Auxerrois,01
Auxerrois,02
Avesso,
Azal,
Bacchus,
Baco Noir,
Baga,
Barbera,06.1
Barbera,03
Barbera,05
Barbera,08
Barbera,07
Barbera,06
Barbera,02
Barbera,02.1
Barbera,03.1
Barbera,05.1
Barbera,07.1
Barbera,09.1
Barbera,08.1
Bastardo,
Biancolella,
Bical,
Black Muscat,
Blanc du Bois,01.1
Blauburgunder,
Blauer Portugieser,
Blaufränkisch,
Bobal,
Bombino Bianco,
Bombino Nero,
Bonarda,
Bovale,
Brachetto,
Braucol,
Bual,
Cabernet Franc,327
Cabernet Franc,214
Cabernet Franc,623
Cabernet Franc,15
Cabernet Franc,394
Cabernet Franc,395
Cabernet Franc,04.1
Cabernet Franc,13.1
Cabernet Franc,327.1
Cabernet Franc,16.1
Cabernet Franc,03
Cabernet Franc,04
Cabernet Franc,05
Cabernet Franc,11
Cabernet Franc,12
Cabernet Franc,14
Cabernet Franc,13
Cabernet Franc,11.1
Cabernet Franc,394.1
Cabernet Merlot,
Cabernet Moravia,
Cabernet Sauvignon,33.1
Cabernet Sauvignon,37.1
Cabernet Sauvignon,51.1
Cabernet Sauvignon,1124.1
Cabernet Sauvignon,43.1
Cabernet Sauvignon,1124
Cabernet Sauvignon,337.1
Cabernet Sauvignon,63.1
Cabernet Sauvignon,29.1
Cabernet Sauvignon,04.1
Cabernet Sauvignon,30.1
Cabernet Sauvignon,31.1
Cabernet Sauvignon,42
Cabernet Sauvignon,43
Cabernet Sauvignon,39
Cabernet Sauvignon,34
Cabernet Sauvignon,35
Cabernet Sauvignon,37
Cabernet Sauvignon,38
Cabernet Sauvignon,33
Cabernet Sauvignon,30
Cabernet Sauvignon,31
Cabernet Sauvignon,169
Cabernet Sauvignon,04
Cabernet Sauvignon,05
Cabernet Sauvignon,64.1
Cabernet Sauvignon,1125
Cabernet Sauvignon,169.1
Cabernet Sauvignon,412.1
Cabernet Sauvignon,685.1
Cabernet Sauvignon,34.1
Cabernet Sauvignon,35.1
Cabernet Sauvignon,39.1
Cabernet Sauvignon,47.1
Cabernet Sauvignon,63
Cabernet Sauvignon,170
Cabernet Sauvignon,412
Cabernet Sauvignon,15EV
Cabernet Sauvignon,338
Cabernet Sauvignon,685
Cabernet Sauvignon,51
Cabernet Sauvignon,47
Cabernet Sauvignon,64
Cabernet Sauvignon,05.1
Cabernet Sauvignon,198.1
Cabernet Sauvignon,74
Cabernet Sauvignon,29
Cabernet Sauvignon,74.1
Cabernet Sauvignon,86.1
Cabernet Sauvignon,1125.1
Cabernet Sauvignon,338.1
Çalkarası,
Canaiolo,
Cannonau,
Carcajolu,
Carignan,
Carignane,11
Carignane,12
Carignane,14
Carignane,15
Carignano,
Carineña,
Carmenère,07.1
Carmenère,03.1
Carmenère,06
Carmenère,1059
Carmenère,02
Carmenère,03
Carmenère,02.1
Carmenère,1059.1
Carricante,
Casavecchia,
Castelão,74
Catarratto,01.1
Cerceal,
Cercial,
Cesanese,
Cesanese d'Affile,
Chambourcin,
Champagne Blend,
Charbono,
Chardonnay,105.1
Chardonnay,113
Chardonnay,809.1
Chardonnay,1068
Chardonnay,1068.1
Chardonnay,37.1
Chardonnay,114.1
Chardonnay,45.1
Chardonnay,70.1
Chardonnay,98.1
Chardonnay,115.1
Chardonnay,15.1
Chardonnay,17.1
Chardonnay,04.1
Chardonnay,05.1
Chardonnay,107.1
Chardonnay,28.1
Chardonnay,46.1
Chardonnay,84.1
Chardonnay,107
Chardonnay,107.3
Chardonnay,87
Chardonnay,100.1
Chardonnay,38.1
Chardonnay,39.1
Chardonnay,69.1
Chardonnay,73.1
Chardonnay,79.1
Chardonnay,80.1
Chardonnay,81.1
Chardonnay,82.1
Chardonnay,85.1
Chardonnay,97.1
Chardonnay,102.1
Chardonnay,112.1
Chardonnay,548.1
Chardonnay,76.1
Chardonnay,96.1
Chardonnay,112
Chardonnay,112.2
Chardonnay,67.1
Chardonnay,1066
Chardonnay,105
Chardonnay,104
Chardonnay,104.1
Chardonnay,97
Chardonnay,98
Chardonnay,99
Chardonnay,100
Chardonnay,102
Chardonnay,102.2
Chardonnay,96
Chardonnay,548
Chardonnay,66
Chardonnay,67
Chardonnay,69
Chardonnay,70
Chardonnay,71
Chardonnay,71.1
Chardonnay,72
Chardonnay,73
Chardonnay,74
Chardonnay,83
Chardonnay,84
Chardonnay,85
Chardonnay,79
Chardonnay,82
Chardonnay,82.2
Chardonnay,80
Chardonnay,81
Chardonnay,103
Chardonnay,51
Chardonnay,54
Chardonnay,48
Chardonnay,49
Chardonnay,50
Chardonnay,86
Chardonnay,76
Chardonnay,04
Chardonnay,05
Chardonnay,15
Chardonnay,17
Chardonnay,18
Chardonnay,20
Chardonnay,21
Chardonnay,22
Chardonnay,23
Chardonnay,37
Chardonnay,38
Chardonnay,39
Chardonnay,40
Chardonnay,41
Chardonnay,42
Chardonnay,43
Chardonnay,44
Chardonnay,45
Chardonnay,46
Chardonnay,27
Chardonnay,28
Chardonnay,1066.1
Chardonnay,41.1
Chardonnay,66.1
Chardonnay,103.1
Chardonnay,140
Chardonnay,134
Chardonnay,95
Chardonnay,1067.1
Chardonnay,113.1
Chardonnay,134.1
Chardonnay,95.1
Chardonnay,140.1
Chardonnay,143.1
Chasselas,
Chenin Blanc,982
Chenin Blanc,982.1
Chinuri,
Ciliegiolo,
Cinsault,
Clairette,
Claret,
Cococciola,
Coda di Volpe,
Códega do Larinho,
Colombard,551
Colombard,551.1
Cortese,
Corvina,
Counoise,508
Debit,01.1
Diamond,
Dolcetto,04.1
Dolcetto,02
Dolcetto,04
Dolcetto,02.1
Doña Blanca,
Dornfelder,
Duras,
Durella,
Edelzwicker,
Ekigaïna,
Elbling,
Emir,
Encruzado,
Erbaluce,
Falanghina,
Fer Servadou,
Fernão Pires,12
Fernão Pires,03.1
Feteasca Neagra,
Feteascǎ Regalǎ,
Fiano,03
Fiano,03.1
Forcallà,
Frankovka,
Frappato,
Freisa,
Friulano,
Früburgunder,
Fumé Blanc,
Furmint,
Gaglioppo,
Gamay,
Gamay Noir,05.1
Gamay Noir,03
Gamay Noir,02
Gamay Noir,05
Gamay Noir,358
Gamay Noir,06
Gamay Noir,07
Gamay Noir,06.1
Garganega,
Garnacha,
Garnacha Blanca,
Garnacha Tintorera,
Gelber Muskateller,
Gewürztraminer,11
Gewürztraminer,12
Gewürztraminer,12.2
Gewürztraminer,47
Gewürztraminer,01
Gewürztraminer,02
Gewürztraminer,04
Gewürztraminer,643
Gewürztraminer,23
Gewürztraminer,23.2
Gewürztraminer,11.1
Gewürztraminer,12.1
Gewürztraminer,23.1
Gewürztraminer,01.1
Gewürztraminer,02.1
Gewürztraminer,47.1
Gewürztraminer,25.1
Gewürztraminer,26.1
Glera,
Godello,
Gouveio,274.1
Gouveio,274
Gouveio,268
Graciano,572
Graciano,08
Graciano,573
Graciano,592
Graciano,103
Graciano,01.1
Graciano,01
Gragnano,
Graševina,
Grauburgunder,
Grecanico,
Grechetto,
Greco,
Greco Bianco,
Grenache,
Grenache Blanc,141.1
Grenache Noir,04.1
Grenache Noir,06.1
Grenache Noir,08.1
Grenache Noir,224
Grenache Noir,06
Grenache Noir,07
Grenache Noir,08
Grenache Noir,04
Grenache Noir,515
Grenache Noir,515.1
Grenache Noir,09.1
Grenache Noir,13.1
Grenache Noir,07.1
Grenache Noir,10
Grignolino,
Grillo,
Grolleau,
Groppello,
Gros Manseng,397
Gros Plant,
Grüner Veltliner,04.1
Grüner Veltliner,03.1
Grüner Veltliner,03
Grüner Veltliner,02
Grüner Veltliner,05.1
Hárslevelü,
Hondarrabi Zuri,
Incrocio Manzoni,
Insolia,
Inzolia,
Irsai Oliver,
Jacquère,
Jacquez,
Jaen,
Johannisberg Riesling,
Kadarka,
Kalecik Karasi,
Kangoun,
Karasakiz,
Kekfrankos,
Kerner,
Kinali Yapincak,
Kisi,
Lagrein,
Lambrusco,
Lambrusco di Sorbara,
Lambrusco Grasparossa,
Lambrusco Salamino,
Lemberger,
Listán Negro,
Loin de l'Oeil,
Loureiro,666
Macabeo,568
Macabeo,567
Madeira Blend,
Madeleine Angevine,
Magliocco,
Malagousia,
Malbec,11
Malbec,10
Malbec,09
Malbec,09.1
Malbec,11.1
Malbec,22.1
Malbec,10.1
Malvar,
Malvasia,
Malvasia Bianca,
Malvasia di Candia,
Malvasia Istriana,
Malvasia Nera,
Mansois,
Mantonico,
Manzoni,
Marawi,
Maria Gomes,
Marquette,
Marsanne,574
Marsanne,574.1
Marselan,980
Marselan,980.1
Marzemino,
Mataro,
Maturana,
Mauzac,
Mavrodaphne,01.1
Mavrotragano,
Mavroudi,
Mavrud,
Mazuelo,
Melnik,
Melon,08.1
Melon,09.1
Melon,08
Melon,09
Melon,229
Mencía,01
Mencía,02
Mencía,03.1
Mencía,02.1
Meritage,
Merlot,35.1
Merlot,09.1
Merlot,15.1
Merlot,20.1
Merlot,26.1
Merlot,36.1
Merlot,343
Merlot,37
Merlot,181.1
Merlot,25.1
Merlot,18.1
Merlot,26
Merlot,314
Merlot,24
Merlot,22
Merlot,25
Merlot,20
Merlot,346
Merlot,181
Merlot,23
Merlot,18
Merlot,348
Merlot,15
Merlot,10
Merlot,12
Merlot,11
Merlot,346.1
Merlot,39.1
Merlot,23.1
Merlot,24.1
Merlot,10.1
Merlot,11.1
Merlot,12.1
Merlot,38.1
Merlot,343.1
Misket,
Mission,
Molinara,
Monastrell,
Mondeuse,
Monica,
Montepulciano,04.1
Montepulciano,02
Montepulciano,04
Montepulciano,03
Montepulciano,03.1
Montepulciano,02.1
Morava,
Morillon,
Moscadello,
Moscatel,
Moscatel de Alejandría,
Moscatel Graúdo,
Moscatel Roxo,
Moscato,
Moscato Giallo,01
Moscato Giallo,01.1
Moschofilero,02
Moschofilero,02.1
Mourvèdre,1069
Mourvèdre,02.1
Mourvèdre,450
Mourvèdre,05
Mourvèdre,06
Mourvèdre,247
Mourvèdre,369
Mourvèdre,1069.1
Mourvèdre,05.1
Mourvèdre,07.1
Mourvèdre,11.1
Mourvèdre,06.1
Mourvèdre,369.1
Mtsvane,
Muscadelle,02
Muscadine,
Muscat,
Muscat Blanc,453
Muscat Blanc,05
Muscat Blanc,453.1
Muscat Blanc,05.1
Muscat Blanc à Petits Grains,
Muscat Canelli,
Muscat d'Alexandrie,
Muscat Hamburg,
Muscat of Alexandria,
Muscatel,
Muskat,
Muskat Ottonel,
Muskateller,
Narince,
Nascetta,
Nebbiolo,11.1
Nebbiolo,02
Nebbiolo,01
Nebbiolo,06
Nebbiolo,08
Nebbiolo,11
Nebbiolo,13.1
Negrette,
Negroamaro,
Nerello Cappuccio,
Nerello Mascalese,
Nero d'Avola,
Nero di Troia,
Neuburger,
Nielluciu,
Norton,
Nosiola,
Nuragus,
Ojaleshi,
Okuzgozu,
Orange Muscat,
Orangetraube,
País,
Pallagrello,
Pallagrello Bianco,
Pallagrello Nero,
Palomino,
Pansa Blanca,
Papaskarasi,
Paralleda,
Passerina,
Pecorino,
Pedro Ximénez,
Perricone,
Petit Manseng,01
Petit Manseng,573
Petit Manseng,01.1
Petit Meslier,
Petit Verdot,1058
Petit Verdot,1058.1
Petit Verdot,400
Petit Verdot,400.1
Petite Sirah,
Petite Verdot,
Picolit,
Picpoul,
Piedirosso,
Pigato,
Pignoletto,
Pinot Auxerrois,
Pinot Bianco,
Pinot Blanc,09
Pinot Blanc,54
Pinot Blanc,07
Pinot Blanc,06
Pinot Blanc,07.1
Pinot Blanc,05.1
Pinot Blanc,09.1
Pinot Blanc,06.1
Pinot Grigio,
Pinot Gris,11.1
Pinot Gris,04
Pinot Gris,10
Pinot Gris,05
Pinot Gris,09
Pinot Gris,09.1
Pinot Gris,11
Pinot Gris,04.1
Pinot Gris,52
Pinot Gris,457.1
Pinot Gris,457
Pinot Gris,10.1
Pinot Gris,14
Pinot Gris,14.1
Pinot Gris,13.1
Pinot Meunier,05
Pinot Meunier,06
Pinot Meunier,01
Pinot Meunier,03
Pinot Meunier,05.1
Pinot Nero,
Pinot Noir,37.1
Pinot Noir,88.1
Pinot Noir,91.1
Pinot Noir,97.1
Pinot Noir,01A.1
Pinot Noir,38.1
Pinot Noir,44.1
Pinot Noir,136
Pinot Noir,86.1
Pinot Noir,90.1
Pinot Noir,46.1
Pinot Noir,47.1
Pinot Noir,51.1
Pinot Noir,69.1
Pinot Noir,81.1
Pinot Noir,83.1
Pinot Noir,87.1
Pinot Noir,98.1
Pinot Noir,96.1
Pinot Noir,100.1
Pinot Noir,101.1
Pinot Noir,102.1
Pinot Noir,103.1
Pinot Noir,108.1
Pinot Noir,109.1
Pinot Noir,116.1
Pinot Noir,118.1
Pinot Noir,119.1
Pinot Noir,120.1
Pinot Noir,121.1
Pinot Noir,123.1
Pinot Noir,02A.1
Pinot Noir,80.1
Pinot Noir,36.1
Pinot Noir,132.1
Pinot Noir,44
Pinot Noir,37
Pinot Noir,152
Pinot Noir,38
Pinot Noir,39
Pinot Noir,47
Pinot Noir,46
Pinot Noir,31
Pinot Noir,32
Pinot Noir,13
Pinot Noir,15
Pinot Noir,16
Pinot Noir,01A
Pinot Noir,02A
Pinot Noir,40
Pinot Noir,51
Pinot Noir,48
Pinot Noir,54
Pinot Noir,55
Pinot Noir,90
Pinot Noir,75
Pinot Noir,76
Pinot Noir,76.1
Pinot Noir,77
Pinot Noir,78
Pinot Noir,79
Pinot Noir,79.1
Pinot Noir,80
Pinot Noir,81
Pinot Noir,82
Pinot Noir,83
Pinot Noir,84
Pinot Noir,85
Pinot Noir,85.1
Pinot Noir,86
Pinot Noir,87
Pinot Noir,88
Pinot Noir,91
Pinot Noir,70
Pinot Noir,89
Pinot Noir,69
Pinot Noir,71
Pinot Noir,72
Pinot Noir,73
Pinot Noir,66
Pinot Noir,67
Pinot Noir,105
Pinot Noir,73.1
Pinot Noir,75.1
Pinot Noir,82.1
Pinot Noir,101
Pinot Noir,102
Pinot Noir,74
Pinot Noir,93
Pinot Noir,94
Pinot Noir,96
Pinot Noir,97
Pinot Noir,98
Pinot Noir,99
Pinot Noir,100
Pinot Noir,236
Pinot Noir,386
Pinot Noir,521
Pinot Noir,927
Pinot Noir,123
Pinot Noir,126
Pinot Noir,667.1
Pinot Noir,943.1
Pinot Noir,828.1
Pinot Noir,66.1
Pinot Noir,103
Pinot Noir,70.1
Pinot Noir,71.1
Pinot Noir,72.1
Pinot Noir,77.1
Pinot Noir,84.1
Pinot Noir,54.1
Pinot Noir,67.1
Pinot Noir,743
Pinot Noir,943
Pinot Noir,165
Pinot Noir,109
Pinot Noir,108
Pinot Noir,118
Pinot Noir,124
Pinot Noir,125
Pinot Noir,119
Pinot Noir,120
Pinot Noir,121
Pinot Noir,116
Pinot Noir,134.1
Pinot Noir,140.1
Pinot Noir,141.1
Pinot Noir,521.1
Pinot Noir,135
Pinot Noir,134
Pinot Noir,68.1
Pinot Noir,92.1
Pinot Noir,138.1
Pinot Noir,139.1
Pinot Noir,125.1
Pinot Noir,777.1
Pinotage,
Piquepoul Blanc,463
Piquepoul Blanc,463.1
Plavac Mali,01.1
Plavac Mali,02.1
Plyto,
Portuguiser,
Posip,
Poulsard,
Prié Blanc,
Prieto Picudo,02.1
Prieto Picudo,02
Prieto Picudo,01.1
Prieto Picudo,01
Primitivo,
Prosecco,
Prugnolo Gentile,
Prunelard,
Pugnitello,
Raboso,
Rara Neagra,
Rebo,
Rebula,
Red Blend,
Refosco,03
Refosco,03.1
Ribolla Gialla,01
Ribolla Gialla,01.1
Rieslaner,
Riesling,23
Riesling,21
Riesling,25
Riesling,26
Riesling,27
Riesling,19
Riesling,20
Riesling,24
Riesling,29
Riesling,28
Riesling,01
Riesling,09
Riesling,10
Riesling,12
